id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7084130,Large Sunny Private Room,22095455,Danni,Manhattan,Civic Center,40.71674,-74.00334000000001,Private room,100,5,1,2015-08-03,0.02,1,0
8775324,Fantastic Private Room with Own Bathroom -,6408132,Michael,Brooklyn,Crown Heights,40.67553,-73.94195,Private room,50,5,1,2016-01-02,0.02,1,35
9050373,Peaceful & Colorful Brooklyn Oasis Near Park+Train,1393469,Tatiana,Brooklyn,Flatbush,40.65228,-73.96428,Entire home/apt,97,2,22,2019-05-21,0.54,1,2
17819994,"Bedroom in Park Slope, 20 min to city",20846509,Ludvig,Brooklyn,Park Slope,40.67148,-73.97766,Private room,95,9,4,2017-11-11,0.18,1,0
34622597,Sun-filled gem near the water and transportation,24482415,Karuna,Brooklyn,Bay Ridge,40.63275,-74.02946,Private room,35,7,2,2019-06-29,1.4,1,1
19179961,Orange in Cypress Hills,133812877,Heather,Brooklyn,Cypress Hills,40.68106,-73.88916,Private room,65,3,23,2019-05-01,0.95,3,321
19111261,Home Oasis Home,133534397,David,Bronx,Longwood,40.8229,-73.90295,Entire home/apt,100,3,30,2018-02-26,1.18,1,0
32340585,Enjoy privacy & comfort in Washington Heights 1BR,17174170,Angela,Manhattan,Washington Heights,40.85197,-73.92853000000001,Entire home/apt,74,1,4,2019-03-24,0.95,1,0
20328568,"Insane Manhattan Views, Top Williamsburg Location",1533756,Yusuf,Brooklyn,Williamsburg,40.72106,-73.95974,Entire home/apt,269,5,1,2017-08-28,0.04,1,0
18999839,Spacious private room with private bathroom,76359133,FuKang,Queens,Fresh Meadows,40.73862,-73.79184000000001,Private room,55,1,113,2019-06-30,4.44,3,137
25355807,Cozy bedroom approx 5 minutes from JFK.,123506305,Kisha,Queens,Springfield Gardens,40.66601,-73.77638,Private room,92,1,0,,,3,180
34673353,30day min High flr apt in the center of Manhattan,261560877,Edit,Manhattan,Theater District,40.76103,-73.97995999999999,Entire home/apt,250,25,0,,,1,261
31243221,"Private room close to train, airport & the city",5592622,Christina,Queens,Astoria,40.756,-73.91386,Private room,55,1,23,2019-07-07,4.63,5,100
20066576,1 Bedroom in the heart of the Lower East Side,56256469,Steven,Manhattan,Lower East Side,40.7191,-73.98431,Entire home/apt,140,3,4,2017-09-04,0.17,1,0
9490080,"Cozy, Artsy Apartment in Upper NYC",49186493,Danni,Manhattan,Washington Heights,40.84369,-73.93828,Entire home/apt,95,4,0,,,1,0
25140559,BEAUTIFUL PRIVATE ROOM,45416627,Lolita,Queens,Astoria,40.76798,-73.92323,Private room,49,1,41,2019-06-17,2.96,9,322
33682823,New York City Luxury Bedroom!!,224317184,Luke,Manhattan,Harlem,40.81652,-73.94914,Private room,215,5,7,2019-06-21,2.73,8,335
34866786,Amazing 2 Bed 2 Bath with Gym in the UWS #6104,116305897,Laura,Manhattan,Upper West Side,40.78932,-73.97359,Entire home/apt,250,30,0,,,9,312
30013315,New Bedroom in a nice apartment,19797950,Shepherd,Brooklyn,Gowanus,40.66736,-73.99467,Private room,53,1,0,,,3,317
9905142,New York NY Downtown (East Village),15869370,Bernie,Manhattan,East Village,40.73036,-73.98673000000001,Entire home/apt,250,7,20,2019-05-13,0.47,1,13
3432660,"Neat, Classy, and Simple.",17299359,Lionel,Brooklyn,Bedford-Stuyvesant,40.68571,-73.95792,Entire home/apt,175,3,1,2014-10-24,0.02,2,365
23763320,Spacious Brooklyn Brownstone with Backyard & Cat,1181486,Kurt,Brooklyn,Bushwick,40.69569,-73.90733,Entire home/apt,84,9,1,2018-03-13,0.06,1,0
35768735,"Large Bright Studio,Sleeps 5 w/2 Queen Beds&Futon",21261408,Jay,Brooklyn,Clinton Hill,40.68991,-73.96132,Private room,130,1,2,2019-07-01,2.0,6,345
30246807,Stay into heart of Brooklyn close  Prospect Park B,227134858,Hitalo,Brooklyn,Prospect-Lefferts Gardens,40.66225,-73.94126,Private room,74,1,20,2019-06-23,2.83,5,125
28486770,Williamsburg Nest: Your Home Away From Home,47239386,Eliran,Brooklyn,Williamsburg,40.71671,-73.95064,Entire home/apt,220,4,3,2018-10-15,0.32,1,16
27736075,Welcome to the Secret Oasis in Williamsburg,84063956,Astrid,Brooklyn,Williamsburg,40.70908,-73.95006,Private room,78,1,32,2019-06-17,3.19,1,30
14354698,Huge 1 Bedroom Central Harlem Express Subway Stop,4597403,Naseef,Manhattan,Harlem,40.81315,-73.95389,Private room,49,1,13,2019-07-07,0.37,1,0
36027346,Live in style @ the BEST LOCATION in MANHATTAN,10117927,Noa,Manhattan,Gramercy,40.73708,-73.98826,Entire home/apt,180,3,0,,,1,4
8855930,Chic and Inviting East Village Apartment,46365876,Josefine,Manhattan,East Village,40.73113,-73.98295,Entire home/apt,125,2,2,2016-08-31,0.06,1,0
28328473,Modern private studio in rockaway,213910720,Ayodele,Queens,Far Rockaway,40.59752,-73.76337,Private room,50,1,18,2019-06-29,1.79,1,71
3358937,ADORABLE 2BR in Chelsea!!,16947051,Cayla,Manhattan,Chelsea,40.74722,-74.00466,Entire home/apt,300,3,11,2016-04-17,0.19,1,0
799900,"Amazing apartment near museum, gardens & park!",4211266,Nora,Brooklyn,Prospect Heights,40.67338,-73.96415,Entire home/apt,150,17,3,2016-09-26,0.07,1,0
33923209,"Queens SPACIOUS Bedroom, 1–3 people, 25 min to NYC",254542999,Cheryl,Queens,Sunnyside,40.73591,-73.92415,Private room,90,2,12,2019-06-30,5.14,1,57
31463824,"Studio at Battery Park, Downtown Manhattan",21229164,Alex,Manhattan,Battery Park City,40.70417,-74.01709,Entire home/apt,115,1,12,2019-06-30,2.02,1,0
30393322,"Comfy Wall Street 1BR w/ Speakeasy, Gym, + Rooftop by Blueground",107434423,Blueground,Manhattan,Financial District,40.70601,-74.0096,Entire home/apt,316,30,0,,,232,287
21081485,Spotless Private Room near Airport and Subway!,29597567,Lucy & Rodo,Queens,Corona,40.74533,-73.86076,Private room,49,2,127,2019-06-22,6.05,1,64
23668737,Family Studio beside Empire State #53,177174475,Alberto,Manhattan,Midtown,40.74793,-73.98834000000001,Entire home/apt,120,1,3,2019-02-08,0.47,17,257
32743787,Brooklyn Best Kept Secrete!,2839817,Rain,Brooklyn,Bedford-Stuyvesant,40.68659,-73.91883,Private room,150,4,0,,,1,179
31818771,Wonderful private room near Two Bridges II,39528519,Max,Manhattan,Lower East Side,40.70961,-73.98679,Private room,73,15,0,,,28,185
17906990,"Sunny, Beautiful, Upper East Side TRUE One Bedroom",23377863,Kristen,Manhattan,Upper East Side,40.78056,-73.95182,Entire home/apt,147,4,9,2019-07-05,0.47,1,7
34123769,private room in new luxury building,257656654,Viola,Brooklyn,Prospect-Lefferts Gardens,40.656290000000006,-73.95177,Private room,36,120,0,,,1,365
7583901,Gorgeous 1 bedroom apt West Village,23299199,Marine,Manhattan,West Village,40.73453,-74.00656,Entire home/apt,247,1,0,,,1,0
32864955,Cozy Apartment near NYC Central Park & Riverside,235905088,Dominique,Manhattan,Upper West Side,40.8022,-73.9666,Entire home/apt,325,7,8,2019-06-22,2.53,1,176
9451126,Cosy Carroll Garden Apartment,48970186,Margarita,Brooklyn,Carroll Gardens,40.68315,-73.99387,Entire home/apt,155,4,128,2019-05-26,2.89,2,0
18404936,Location! Location!,63417081,Devon,Manhattan,Harlem,40.82359,-73.94433000000001,Private room,37,30,4,2018-07-15,0.18,8,291
28020352,Rare Downtown First Floor Apt w Private Backyard,16714191,Nicolas,Manhattan,Gramercy,40.7358,-73.9806,Entire home/apt,160,3,6,2019-05-28,0.69,1,351
2078687,Lower East Side Haven on Ludlow St,10621196,Kate,Manhattan,Lower East Side,40.71715,-73.98935999999999,Entire home/apt,110,8,5,2016-01-06,0.07,1,333
9881195,HUGE Apartment - Close to Subway,5913612,John-Paul,Queens,Astoria,40.76197,-73.92208000000001,Entire home/apt,150,1,1,2016-01-03,0.02,1,0
21824864,The Great Room on the Upper East Side,27552154,Sylvia,Manhattan,Upper East Side,40.7627,-73.96225,Private room,90,3,1,2018-01-01,0.05,2,0
19902776,Beautiful 2br apt. in heart of historic Harlem,140931908,Daniela,Manhattan,East Harlem,40.81033,-73.93874,Entire home/apt,200,2,9,2019-06-25,0.38,1,27
18649105,Large 1 Bedroom in Astoria/Long Island City!,44838931,Andrea,Queens,Astoria,40.76843,-73.93257,Private room,90,3,17,2019-04-23,0.65,2,334
21011466,Spacious & Cozy Apt in Chinatown/Lower East Side,7557662,Alek,Manhattan,Lower East Side,40.71832,-73.99287,Entire home/apt,200,1,15,2019-06-29,0.72,1,29
17369078,Cozy room in Prospect Heights,16066047,Allegra,Brooklyn,Crown Heights,40.679190000000006,-73.95918,Private room,70,2,12,2019-06-28,0.47,1,120
8704348,Spacious & Artsy Astoria Apartment,9376458,Jorge,Queens,Astoria,40.76512,-73.92430999999999,Entire home/apt,135,3,11,2016-10-02,0.24,1,0
31430577,Upper East Side One Bedroom,79520100,Bee,Manhattan,East Harlem,40.7868,-73.95228,Private room,50,2,29,2019-06-08,5.0,1,0
4454122,Cozy Harlem Hideaway **,1390414,Loryn,Manhattan,Harlem,40.81071,-73.94433000000001,Entire home/apt,115,2,84,2019-06-18,1.51,1,50
8269681,Sunny Clean Bedroom,43601551,Anamaria & Ricardo,Manhattan,East Harlem,40.78987,-73.94883,Private room,75,2,13,2019-01-02,0.28,2,325
668691,Comfy room in beautiful apartment,3363720,Kate,Brooklyn,Bushwick,40.68888,-73.91911,Private room,45,5,69,2019-05-25,0.89,3,223
66741,Charming Garden Apt in Park Slope,327673,Stefano,Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2019-06-23,2.08,2,263
8689608,Charming and Modern Home Base,19808319,Lilian,Manhattan,Harlem,40.80706,-73.94665,Private room,100,30,146,2019-05-07,3.22,2,44
18071406,Room in Hells Kitchen for short term stay!,69572951,Ilija,Manhattan,Hell's Kitchen,40.76316,-73.9904,Private room,100,4,0,,,1,0
1465446,Historic Townhouse with Private Backyard,7850260,Raymond,Manhattan,Harlem,40.80533,-73.94665,Entire home/apt,175,1,152,2019-07-04,4.54,3,248
9879556,**Luxury 1 Bedroom Upper East Side NYC Apt,30283594,Kara,Manhattan,Upper East Side,40.76257,-73.95915,Entire home/apt,249,30,1,2018-01-25,0.06,121,273
27166904,PRIVATE APARTMENT IN DOORMAN BUILDING,94832914,John,Manhattan,Financial District,40.70571,-74.00675,Entire home/apt,139,3,1,2019-03-18,0.27,1,0
